ref,base,aut,inc,oeu,incfr,gp,ndat,nlc,lc,sre,srcho,mc,cat,comp,dep,autsre,sui,autt,crit,neff,attr,nlitur,tex,num,nott,not,ded,sign,nsre,fcn,fcna,ncho,gnr,cho,cot,part,ed,arg,codinc,lien,intp,eff,instr,nrole,nc,nnc,role,inf,dat,rec,scat,cata,utxt,bibl,disc,cf,évnt,frag,srlitt,gnrt,trad,oeucit,pass,comm,mucont,jlbbur,img,n°img,noms,lcinst
16720102,# compte-rendu,,,,,,"1672.01.07 : représentation du mariage de Bacchus et d'Ariane au Théâtre du Marais.	1672.01.16 : signature de l'article (p. 113 : ""A Paris, le 16. Janvier"")	1672.05.25 : ""achevé d'imprimer"" du tome I du Mercure Galant",,"PARIS, Théâtre du Marais","Mercure galant, tome I, [...] De janvier 1672 au départ du roi, p. 109-111",,tragédie à machines	comédie héroïque	réception d'oeuvre	éloge d'un auteur	actualité théâtrale	ballet,1672.05.02,,,,,,,,,,"Discours sur le Mariage de Bacchus et d'Ariane, Comedie heroïque		On ne parle icy que de divertissemens, & jamais les Balets & la Musique ne furent si à la mode. Les Comédiens du Marais ont representé depuis peu une Piece qui en est toute remplie ; elle est intitulée le Mariage de Bachus & d'Ariane ; les Chansons en ont paru fort agreables, & les Airs en sont faits par ce fameux Monsieur de Moliere, dont le mérite est si connu, & qui a travaillé tant d'années aux Airs des Balets du Roy : Elle est de l'Autheur des Amours du Soleil, qui firent tant de bruit l'année derniere, & qui cet Hyver ont encor occupé le Theatre pendant deux mois. Je ne vous diray rien à l'avantage de ses Pieces, il est trop de mes Amis, & les loüanges que je luy donnerois seroient peut-estre suspectes.",,,,,Anne Piéjus 2005	Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"MOLLIER, Louis de [1615 ca-1688]	DONNEAU DE VISÉ, Jean [1638-1710]",,,,1672.01.07	1672.01.16	1672.05.25,,16720102,,,,,,,,,,,"DONNEAU DE VISÉ, J., Le mariage de Bacchus et d'Ariane	DONNEAU DE VISÉ, J., Les amours du soleil",,,,,,,,Comédiens français
16720101,# compte-rendu,,,,,,"1672.01.01 : création de la pièce de Racine (source : base de données CESAR).	1672.01.09 : signature de l'article (p. 90 : ""A Paris, ce 9. Janvier"")	1672.05.25 : ""achevé d'imprimer"" du tome I du Mercure Galant",,"CONSTANTINOPLE	PARIS, Théâtre de l'Hôtel de Bourgogne","Mercure galant, tome I, [...] De janvier 1672 au départ du roi, p. 65-71",,tragédie	exotisme	commentaire de l'intrigue	actualité théâtrale	création d'oeuvre,1672.05.01,,,,,,,,,,"Discours sur le Bajazet, Tragedie du Sieur Racine		On representa ces jours passez sur le Theatre de l'Hostel de Bourgogne une Tragédie intitulée Bajazet, & qui passe pour un ouvrage admirable. Je croy que vous n'en douterez pas, quand vous sçaurez que cet Ouvrage est de Monsieur Racine, puisqu'il ne part rien que d'achevé de la plume de cet Illustre Autheur. Le sujet de cette Tragédie est Turc, à ce que rapporte l'Autheur dans sa Préface. Voicy en deux mots ce que j'ay appris de cette histoire dans les Historiens du Païs, par où vous jugerez du génie admirable du Poëte, qui sans en prendre presque rien, a sçeu faire une Tragédie si achevée. Amurat avoit trois Freres, quand il partit pour le siege de Babylone : Il en fit étrangler deux, dont aucun ne s'appelloit Bajazet ; & l'on sauva le troisième de sa fureur, parce qu'il navoit point d'Enfans pour succeder à l'Empire. Ce grand Seigneur mena dans son Voyage sa Sultane favorite. Le Grand Visir qui se nommoit Mahemet Pacha, y estoit aussi, comme nous voyons dans une Relation faite par un Turc du Serrail, & traduite en François par Monsieur du Loir, qui estoit alors à Constantinople, & ce fut ce Grand Visir qui commença l'attaque de cette fameuse Ville vers le Levant, avec le Gouverneur de la Gréce Aly Pacha, Fils d'Arlan, & l'Aga des Janissaires avec son Regiment. A son retour il entra triomphant dans Constantinople, comme avoit fait peu de jours auparavant le grand Seigneur son Maistre. Cependant l'Autheur de Bajazet le fait demeurer ingénieusement dans Constantinople sous le nom d'Acomat, pour favoriser les desseins de Roxane qui se trouve dans le Serrail de Bisance, quoy qu'elle fut dans le Camp de Sa Hautesse ; & tout cela pour élever à l'Empire Bajazet, dont le nom est tres-bien inventé. Le troisième Frere du Sultan Amurat qui restoit, & qui luy échapa, par les soins de leur commune Mere, se nommoit Ibrahim, dont ce cruel Empereur eut la barbarie de se vouloir défaire, dans l'extremité de la maladie qui le fit mourir, & dessein (dit on) de faire son Successeur le jeune Mustapha Capoudan Pacha, son Favory, à qui il avoit donné en mariage une Fille unique qu'il avoit euë de la Sultane qu'il aimoit le plus. Je ne puis estre pour ceux qui disent que cette piece n'a rien d'assez Turc qui sont galans, & puis elle plaist ; il n'importe comment & il ne couste pas plus quand on a à feindre, d'inventer des caracteres d'honestes Gens & de Femmes tendres & galantes, que ceux de barbares qui ne conviennent pas au goust des Dames de ce Siecle, à qui sur toutes choses il est important de plaire. [...]",,,,,Anne Piéjus 2005	Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"LOIR, Mr du	RACINE, Jean [1639-1699]",,Acomat	Aly Pacha	Bajazet	Ibrahim	Mahemet Pacha	Mustapha Capoudan Pacha	Roxane	Amurat,,1672.01.09	1672.05.25	1672.01.01,,16720101,,,,,,,,,,,"RACINE, J., Bajazet	LOIR, M. du, Les Voyages du sieur Du Loir contenus en plusieurs lettres écrites du Levant, Paris, G. Clouzier, 1654",,,,,,,,
16820809,# compte-rendu,,,,,,,,"PARIS, Chez Mr de Montausier","Mercure Galant, août 1682, p. 118-121",,bal	concert	célébration d'une naissance princière,1682.08.09,,,,,,,,,,"[Réjouissances pour la naissance du duc de Bourgogne]		Comme Mr le Duc de Montausier est Gouverneur de Monseigneur le Dauphin, il semble qu'il avoit un double sujet de se réjoüir. Aussi peut-on dire que le coeur du Maistre avoit passé dans ses Domestiques, qu'ils estoient tous animez de son esprit, & que jamais les vifs mouvemens d'une veritable joye n'ont si bien paru que sur leurs visages. A voir la maniere dont ils s'y abandonnoient, on connoissoit aisément qu'ils ne marquoient rien qu'ils ne sentissent. Quelque éclat qu'ait eu la dépense qu'on a faite, il n'égaloit point celuy des agreables transports que l'allégresse a produits pendant plusieurs jours dans tout cet Hostel. Il estoit éclairé d'un grand nombre de Flambeaux de poing de cire blanche, & paroissoit le Palais de l'Abondance & de la Joye ; de l'Abondance, non seulement parce qu'il n'estoit permis à personne de passer devant la Porte, sans s'y arrester pour boire, mais encor parce que l'on remplissoit des Cruches de Vin à tous ceux du menu Peuple qui venoient en demander, & qu'il y avoit des Tables dressées en plusieurs endroits ; & de la Joye, parce que dans la Court, dans les Chambres, & dans toute la Maison, on ne voyoit que des emportemens de plaisir, & des Dances au son de toute sorte d'Instrumens.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"BOURGOGNE, Louis de France [1682-1712], duc de	MONTAUSIER, Charles de Sainte-Maure [1610-1690], duc de	LOUIS, dauphin de France [1661-1711]",,,,1682.08,,16820809,,,,,,,,,,,,,,,,,,,
16781008a,# compte-rendu,,,,,,,,"SAINT-CLOUD, Château, galerie	SAINT-CLOUD, Château, appartements	FONTAINEBLEAU	PARIS, Hôtel des Invalides	VERSAILLES, Château	SAINT-CLOUD, Château, salon neuf","Mercure Galant, octobre 1678, p. 329-335",,bal	réception officielle	jeu,1678.10.09,,,,,,,,,,"Divertissemens de S. Cloud.		Le sejour que le Roy avoit dessein de faire à S. Cloud, ayant esté résolu avant son depart pour Fontainebleau, Monsieur qui avoit donné ses ordres pour le logement de toute la Cour, s'y rendit le 6. de ce Mois, pour voir s'ils avoient esté bien executez. Il en visita les Appartemens, & ne pût que loüer l'exactitude du Sr Billon, à qui la direction de cette belle Maison a esté donnée. Son Altesse Royale alla en suite dans la Gallerie qu'il n'avoit point encor veuë depuis qu'elle est achevée & meublée. Elle en demeura si satisfaite, qu'elle souhaita impatiemment la venuë de Leurs Majestez. Elles arriverent le 10. dans le Carrosse du Roy, où il n'y avoit avec Elles que Monseigneur le Dauphin, Mademoiselle, & Madame la Comtesse de Bethune. Les autres Carrosses ne pûrent faire la mesme diligence à cause des mauvais chemins. Apres qu'on eut admiré les Ouvrages du fameux Mr Mignard, qui rendent la Gallerie de S. Cloud une des plus belles choses de l'Europe (je vous en feray une autre fois un Article particulier) on fit diverses Parties de jeu jusqu'à l'heure du Soupé, qui fut digne de la magnificence du Roy. La Table estoit ovale, de vingt cinq Couverts ; & comme elle estoit fort large, & que les Officiers n'auroient pû mettre de Plats dans le milieu, on l'avoit remply de Fleurs d'une maniere si propre, si galante, & si pompeuse tout à la fois, qu'il est difficile d'en bien concevoir toute la beauté. Le Service des Viandes de la bouche estoit de quatorze grands Plats qui formoient un Cordon. Il y en avoit vingt-quatre petits pour le tour, qui approchoient des Couverts. Le Fruit répondoit à ce Service. Outre Monseigneur le Dauphin, Monsieur, Madame, Mademoiselle, Mademoiselle de Valois, Mademoiselle d'Orleans, & Mademoiselle de Blois ; toutes les Duchesses, Mareschales de France, Dames, & Filles d'Honneur de la Reyne, de Madame, & de Mademoiselle d'Orleans, furent placées à la Table. La figure des Fleurs se changeoit à chaque Repas. Tantost elles estoient dans une Machine dorée d'une invention agreable, tantost dans des Corbeilles d'argent, puis dans des Vases ou des Caisses de mesme matiere, & quelquefois on les voyoit meslées les unes avec les autres. Toutes les autres Tables du Roy tinrent à leur ordinaire, & furent magnifiquement servies. Monsieur en fit aussi servir plusieurs dans le Bourg. Il y eut Bal tous les soirs avant le Soupé dans le Salon neuf qui est au bout de la Gallerie. Tout y estoit si bien ordonné, qu'on n'a jamais veu une Place si spatieuse pour danser, quoy qu'il y eust une infinité de monde. L'Assemblée ne pouvoit estre plus Illustre. J'aurois trop à vous dire, si je voulois vous parler de la grace merveilleuse de Monseigneur le Dauphin, de l'air galant de Messieurs les Princes de Conty, de la Roche sur Yon & de Vermandois, de Messieurs les Comtes d'Armagnac, de Marsan & de Brionne, de Mr le Marquis de Hautefort, & de Mr le Chevalier de Chastillon : mais si je me sens incapable de vous exprimer les avantages qu'ils ont à la danse, que pourrois-je vous dire qui répondit à l'admiration que causerent Mademoiselle, Mademoiselle de Valois, Mademoiselle de Blois, Mesdames les Duchesses de Vantadour, de la Ferté, & de Nevers, Madame la Comtesse de Maré, & Mesdemoiselles de Grancé, de Thiange, & de Beauvais ? Cette derniere est une des Filles de Madame. Quoy que la mort d'un de ses Parens l'oblige de paroistre en deüil à la Cour, sa beauté ne l'y fait pas briller avec moins d'éclat que si elle estoit accompagnée des ornemens qui sont recherchez par toutes les Belles. Le mauvais temps fut cause qu'on se promena peu dans les délicieux Jardins de S. Cloud, mais il n'empescha pas le Roy d'aller voir l'état de ses Bastimens de Versailles, & de visiter la Maison des Invalides.",,,,,Benoît Michel	Camille Tanguy,,,,,,,,,,,,,,,,,"LOUIS XIV [1638-1715], roi de France	LOUIS, dauphin de France [1661-1711]	ORLÉANS, Philippe I [1640-1701], duc d'	SAVOIE, Anne-Marie d'Orléans [1669-1728], duchesse de	CONTI, Louis-Armand I de Bourbon [1661-1685], prince de	CONTI, François-Louis de Bourbon [1664-1709], prince de	CONTI, Marie-Anne de Bourbon [1666-1739], princesse de	MIGNARD, Pierre [1612-1695]	BILLON, Mr	ORLÉANS, Élisabeth-Charlotte de Bavière [1652-1722], duchesse d'	MARIE-LOUISE [1662-1689], reine d'Espagne	VERMANDOIS, Louis de Bourbon [1667-1683], comte de	LORRAINE-ARMAGNAC, Louis de [1641-1718]	BRIONNE, Henri de Lorraine [1661-1712], comte de	NEVERS, Diane-Gabrielle de Damas de Thianges [1633-1715], duchesse de	SFORCE, Louise-Adélaïde de Damas [1654 ca-1730], duchesse de	SOISSONS, Uranie de La Cropte [1655-1717], comtesse de	LORRAINE-ARMAGNAC, Charles de [1648-1708]	BÉTHUNE, Anne-Marie Beauvillier [1617-1688], comtesse de	HAUTEFORT, Jacques-François [1609-1680], marquis de	GRANCEY, Élisabeth ou Isabelle Rouxel de Médavy de [1641-1706], dite Mme de	MAREY, Marie-Lousie de Rouxel de Médavy [1648-1728], comtesse de	CHÂTILLON, Alexis-Henri [1653-1737], marquis de	VENTADOUR, Charlotte-Éléonore-Madeleine de La Mothe-Houdancourt [1651-1744], duchesse de	LA FERTÉ, Marie-Isabelle-Angélique de La Motte-Houdancourt [1654-1726], duchesse de	MONTPENSIER, Anne-Marie-Louise d'Orléans [1627-1693], duchesse de",,,,1678.10.06-1678.10.10,,16781008,,,,,,,,,,,,,,,,,,,
167204031,- oeuvre,,,,Si dans son art c'est être un ouvrier parfait,,"1673.02.17 : décès de Molière.	1673.06.14 : ""achevé d'imprimer"" du tome IV du Mercure Galant.",,,"Mercure galant, tome IV, p. 271",,éloge funèbre	théâtre,1673.06.04,,,,,non identifié,,,,,"Si dans son Art c'est estre un Ouvrier Parfait,	Que sçavoir trait pour trait imiter la Nature,	Moliere doit passer pour tel ;	Michel-Ange, Le Brun, & toute la Peinture,	Comme luy n'ont sçeu faire un Mort au naturel.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"MOLIÈRE [1622-1673]	LE BRUN, Charles [1619-1690]	MICHEL-ANGE [1475-1564]",,,,1673.02.17	1673.06.14,,167204031,,,,,"Notice 1673.06.03 qui contient le commentaire précédant la publication des ""Pièces en vers sur la mort de Molière"" dont celle-ci fait partie.",,,,,,,,,,,,,,
167204032,- oeuvre,,,,Ci-gît un grand acteur,,"1673.02.17 : décès de Molière.	1673.06.14 : ""achevé d'imprimer"" du tome IV du Mercure Galant.",,,"Mercure galant, tome IV, p. 272",,éloge funèbre	théâtre,1673.06.05,,,,,non identifié,,,,,"Cy git un grand Acteur que l'on dit estre mort;	Je ne scay s'il l'est, ou s'il dort.	Sa Maladie Imaginaire	Ne sçauroit l'avoir fait mourir,	C'est un tour qu'il a fait à plaisir,	Car il aimoit à contrefaire.	Quoy qu'il en soit cy git Moliere;	Comme il estoit Comedien	S'il fait le Mort, il le fait bien.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,MOLIÈRE [1622-1673],,,,1673.02.17	1673.06.14,,167204032,,,,,"Notice 1673.06.03 qui contient le commentaire précédant la publication des ""Pièces en vers sur la mort de Molière"" dont celle-ci fait partie.",,,,,,,,,,,,,,
167204033,- oeuvre,,,,Ci-gît le Térence français,,"1673.02.17 : décès de Molière.	1673.06.14 : ""achevé d'imprimer"" du tome IV du Mercure Galant.",,,"Mercure galant, tome IV, p. 272",,éloge funèbre	théâtre,1673.06.06,,,,,non identifié,,,,,"Cy git le Térence François,	qui mérita pendant sa vie,	De divertir malgré l'Envie,	Le plus sage de tous les Rois :	Il a poussé l'Esprit Comique,	Jusques au dernier de ses jours ;	La Mort en arrestant le cours,	Il a finy par le Tragique.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,MOLIÈRE [1622-1673]	TÉRENCE [190 av. J.-C.-149 av. J.-C.],,,,1672.02.17	1672.06.14,,167204033,,,,,"Notice 1673.06.03 qui contient le commentaire précédant la publication des ""Pièces en vers sur la mort de Molière"" dont celle-ci fait partie.",,,,,,,,,,,,,,
167204034,- oeuvre,,,,Ci-gît qui parut sur la scène,,"1673.02.17 : décès de Molière.	1673.06.14 : ""achevé d'imprimer"" du tome IV du Mercure Galant.",,,"Mercure galant, tome IV, p. 273",,éloge funèbre	théâtre,1673.06.07,,,,,non identifié,,,,,"Cy git qui parut sur la Scene	Le Singe de la vie Humaine,	Qui n'aura jamais son égal,	Qui voulant de la Mort, ainsi que de la Vie,	Estre l'Imitateur dans une Comedie,	Pour trop bien réüssir, y réüssit fort mal ;	Car la mort estant ravie,	Trouva si belle la Copie,	Qu'elle en fit un Original.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,MOLIÈRE [1622-1673],,,,1673.02.17	1673.06.14,,167204034,,,,,"Notice 1673.06.03 qui contient le commentaire précédant la publication des ""Pièces en vers sur la mort de Molière"" dont celle-ci fait partie.",,,,,,,,,,,,,,
167204035,- oeuvre,,,,Ci-gît sous cette froide bière,,"1673.02.17 : décès de Molière.	1673.06.14 : ""achevé d'imprimer"" du tome IV du Mercure Galant.",,,"Mercure galant, tome IV, p. 273",,éloge funèbre	théâtre,1673.06.08,,,,,non identifié,,,,,"Cy git sous cette froide Biere,	Le fameux Comique Moliere,	Je ne sçay pas bien s'il y dort ;	Celuy qui sçeut tout contrefaire,	Y pourroit bien encor contrefaire la Mort.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,MOLIÈRE [1622-1673],,,,1673.02.17	1673.06.14,,167204035,,,,,"Notice 1673.06.03 qui contient le commentaire précédant la publication des ""Pièces en vers sur la mort de Molière"" dont celle-ci fait partie.",,,,,,,,,,,,,,
167204036,- oeuvre,,,,Celui qui gît dans ce tombeau,,"1673.02.17 : décès de Molière.	1673.06.14 : ""achevé d'imprimer"" du tome IV du Mercure Galant.",,,"Mercure galant, tome IV, p. 274",,éloge funèbre	théâtre,1673.06.09,,,,,non identifié,,,,,"Celuy qui gît dans ce Tombeau,	Passant, c'est le fameux Moliere,	De qui l'esprit estoit si beau,	Que rien ne faisoit peine à sa vive lumiere.	Regrete son trépas si tu chéris les Vers.	Car il charmoit les sens sur tous Sujets divers ;	Mais la cruelle Parque, en nous faisant injure,	S'accordant avecque la Mort,	L'a laissé dans la sepulture,	Où cet Acteur faisoit la Mort.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,MOLIÈRE [1622-1673],,,,1673.02.17	1673.06.14,,167204036,,,,,"Notice 1673.06.03 qui contient le commentaire précédant la publication des ""Pièces en vers sur la mort de Molière"" dont celle-ci fait partie.",,,,,,,,,,,,,,
167204037,- oeuvre,,,,Sous ce tombeau gisent Plaute et Térence,,"1673.02.17 : décès de Molière.	1673.06.14 : ""achevé d'imprimer"" du tome IV du Mercure Galant.",,,"Mercure galant, tome IV, p. 275",,éloge funèbre	théâtre,1673.06.10,,,,,non identifié,,,,,"Sous ce Tombeau gissent Plaute & Terence	Et cependant le seul Moliere y git.	Leurs trois talens ne formoient qu'un esprit	Dont le bel Art divertissoit la Farce :	Il sont partis, & j'ay peu d'esperance	De les revoir malgré tous nos efforts.	Pour un longtemps, selon toute apparence,	Terence, Plaute & Moliere sont morts.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,MOLIÈRE [1622-1673]	TÉRENCE [190 av. J.-C.-149 av. J.-C.]	PLAUTE [254 av. J.-C.-184 av. J.-C.],,,,1673.02.17	1673.06.14,,167204036,,,,,"Notice 1673.06.03 qui contient le commentaire précédant la publication des ""Pièces en vers sur la mort de Molière"" dont celle-ci fait partie.",,,,,,,,,,,,,,
167204038,- oeuvre,,,,C'est donc là le pauvre Molière,,"1673.02.17 : décès de Molière.	1673.06.14 : ""achevé d'imprimer"" du tome IV du Mercure Galant.",,,"Mercure galant, tome IV, p. 275",,éloge funèbre	théâtre,1673.06.11,,,,,non identifié,,,,,"C'est donc là le pauvre Moliere	Qu'on porte dans le Cimetiere,	En le voyant passer, dirent quelques Voisins.	Non, non, dit un Apoticaire,	Ce n'est qu'un Mort Imaginaire,	Qui se raille des Medecins.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,MOLIÈRE [1622-1673],,,,1673.02.17	1673.06.14,,167204038,,,,,"Notice 1673.06.03 qui contient le commentaire précédant la publication des ""Pièces en vers sur la mort de Molière"" dont celle-ci fait partie.",,,,,,,,,,,,,,
167204039,- oeuvre,,,,Pluton voulant donner aux gens de l'autre vie,,"1673.02.17 : décès de Molière.	1673.06.14 : ""achevé d'imprimer"" du tome IV du Mercure Galant.",,,"Mercure galant, tome IV, p. 276",,éloge funèbre	comédie-ballet,1673.06.12,,,,,non identifié,,,,,"Pluton voulant donner aux Gens de l'autre vie,	Le plaisir de la Comedie,	Ayant pour faire un choix longtemps délibéré,	Ne trouva rien de plus à son gré,	Que le Malade Imaginaire ;	Mais comme par malheur il manquoit un Acteur,	L'un d'entr'eux dit tout haut, qu'on ne pouvoit mieux faire,	Que d'envoyer quérir l'Autheur.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,MOLIÈRE [1622-1673],,,,1673.02.17	1673.06.14,,167204039,,,,,"Notice 1673.06.03 qui contient le commentaire précédant la publication des ""Pièces en vers sur la mort de Molière"" dont celle-ci fait partie.",,,,,,"MOLIÈRE, J.-B. Poquelin dit, Le malade imaginaire",,,,,,,,
1672040310,- oeuvre,,,,Molière à chacun a fait voir,,"1673.02.17 : décès de Molière.	1673.06.14 : ""achevé d'imprimer"" du tome IV du Mercure Galant.",,,"Mercure galant, tome IV, p. 276",,éloge funèbre	théâtre,1673.06.13,,,,,non identifié,,,,,"Moliere à chacun a fait voir	L'inutilité du Sçavoir	De ceux qui font de la Medecine ;	Et pour nous accomplir son dessein,	Et nous mieux prouver sa doctrine	Il meurt dès qu'il est Medecin.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,MOLIÈRE [1622-1673],,,,1673.02.17	1673.06.14,,1672040310,,,,,"Notice 1673.06.03 qui contient le commentaire précédant la publication des ""Pièces en vers sur la mort de Molière"" dont celle-ci fait partie.",,,,,,,,,,,,,,
16770203,# compte-rendu,,,,,,,,ROME,"Nouveau Mercure galant, tome II, [avril], p. 81-84",,célébration d'une victoire militaire	carnaval,1677.02.03,,,,,,,,,,"Spectacles preparez pour le Public.		Puis que nous sommes sur le Chapitre des Divertissemens, je ne doy pas oublier que plusieurs Personnes de Qualité font travailler à de grands Spectacles qu'ils donneront au Public sans qu'on prenne d'argent à la porte, & cela, pour marquer la joye qu'ils ont des grandes Conquestes du Roy ; c'est imiter les anciens Romains, & ces Messieurs ne peuvent rien faire qui marque plus la grandeur de la France, l'abondance qu'elle a de toutes choses, & le calme dont elle joüit au dedant. Ces sortes de Spectacles font fleurir les beaux Arts, & leur donnent presque à tous de l'employ : il sont réveillez par là, & l'émulation fait faire des choses ausquelles on ne donneroit jamais tout le soin qu'elles demandent pour estre parfaites, si l'on n'avoit point de Concurrent. C'est ce que nous voyons tous les jours en Italie, où les plus grands Princes, & ceux dont la conduite sert de regle aux Peuples qui leur sont commis, ne dédaignent pas de prendre le soin des Opera. On en a veu un à Rome le Carnaval dernier, où le Chevalier Bernin avoit travaillé. Je ne vous dis point qu'il y avoit des choses surprenantes, vous sçavez ce que ce grand Homme peut faire.",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"BERNINI, Gian Lorenzo [1598-1680]",,,,1677.04,,16770203,,,,,,,,,,,,,,,,,,,
1677100101,. source musicale perdue	- oeuvre,,,,N'êtes-vous point rêveuse,,,,,"Nouveau Mercure galant, tome X, [décembre], p. 61-64",,air,1677.10.02,,,,,,,,,,"« Comme vous aimez la Musique, je vous souhaitay fort dernierement dans une Assemblée où il y eut un tres-grand Concert. J'y recouvray les Paroles du dernier Air que feu Mr le Camus a composé. Vous me les avez demandées, & je vous les envoye. La belle Mademoiselle de Villeneuve les chanta avec une justesse à laquelle on ne peut rien ajoûter ; tout le monde en fut charmé, & jamais il n'y eut tant de loüanges, ny si justement données.		AIR.	N'estes-vous point resveuse & triste quelquefois ?	De vos Rochers & de vos Bois	N'allez-vous point chercher les plus sombres demeures,	Et dans ces Lieux charmans, sensible à mon amour,	Ne passez-vous point quelques heures,	Comme j'y passe tout le jour ?		Mr de Frontiniere a fait ces Paroles. Elles sont touchantes d'elles-mesmes. Jugez ce qu'elles me parurent dans la bouche d'une Personne qui est si propre à toucher. A vous dire vray, Madame, il y a un peu de risque à courir, & la beauté de Mademoiselle de Villeneuve jointe à celle de sa voix, est quelque chose de si dangereux, que pour le repos de bien des Gens, il seroit à souhaiter qu'elle ne se laissast point voir quand elle chante. »",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,"VILLENEUVE, Mlle de",,,,"LE CAMUS, Sébastien [1610 ca-1677]",,,,1677.12,,1677100101,,,,,,,,,,,,,,,,,,,
1677100102,. source musicale perdue	- oeuvre,,,,J'aime l'eau pour l'amour du vin,,,,,"Nouveau Mercure galant, tome X, décembre, p. 64",,air à boire,1677.10.03,,,,,,,,,,"« Voicy d'autres Paroles sur un sujet tout diférent. Mr Moliere en a fait l'Air depuis peu avec son succés ordinaire.		AIR.	J'aime l'Eau pour l'amour du Vin ;	Elle fringue mon Verre,	Elle arrose la Terre,	Et nourrit le Raisin.	J'aime l'Eau pour l'amour du Vin. »",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"MOLLIER, Louis de [1615 ca-1688]",,,,1677.12,,1677100102,,,,,,,,,,,,,,,,,,,
1677060101,- oeuvre	. source musicale perdue,,,,Vous que j'ai vu brûler d'une flamme si belle,,,,PARIS,"Nouveau Mercure galant, tome VI, [août], p. 13-15",,air	chanson,1677.06.02,,,,,,,,,,"« Puis que les Chansons ont tant de charmes pour vos belles Provinciales, je croy ne devoir pas quitter cette matiere sans vous faire encor part de deux qui sont tombées entre mes mains. L'Air de la premiere est de Mr Boisset ; les Paroles furent faites sur le bruit qui courut que Monsieur retourneroit à l'Armée peu de temps apres que ce Prince fut arrivé à Paris, & c'est sur ce sujet que l'Autheur feint que Madame s'adresse à ce Prince pour luy dire ce qui suit.		CHANSON.	Vous que j'ay veu brûler d'une flame si belle,	Et qui m'avez juré de me garder la foy,	Ah que c'est estre peu fidelle,	Qu'aimer plus la Gloire que moy !		Si vostre prompt retour ne finit ma souffrance,	La Parque va bientost me ranger sous sa Loy :	Ah que c'est avoit d'inconstance,	D'aimer plus le Gloire que moy ! »",,,,,Camille Tanguy,,,,,,,,,,,,,,,,,"ORLÉANS, Philippe I [1640-1701], duc d'	ORLÉANS, Élisabeth-Charlotte de Bavière [1652-1722], duchesse d'	BOESSET, Antoine [1587-1643]",,,,1677.08,,1677060101,,,,,1677.06.03,,,,,,,,,,,,,,
1677060102,- oeuvre	. source musicale perdue,,,,Vos charmes belle Iris,,,,,"Nouveau Mercure galant, tome VI, [août], p. 15-16",,air	chanson,1677.06.03,,,,,,,,,,"« Les deux Couplets qui suivent sont pour Madame la Mareschale de Lorge. L'Air en a esté fait par Mr Dambroüys.		CHANSON.	Vos charmes, belle Iris, font aisément connoistre	Que l'Amour est toûjours le maître,	Et que tous les Guerriers qu'on redoute le plus,	Sont ceux qu'il a plutost vaincus.		Vostre Illustre Héros, que plus d'une Victoire	A rendu tout brillant de gloire,	Soûmis à vos appas, adore dans vos yeux	Amour le plus puissant des Dieux. »",,,,,Thomas Vernet	Camille Tanguy,,,,,,,,,,,,,,,,,"LORGES, Geneviève Frémont d'Auteuil [1658-1727], maréchale de	AMBRUIS, Honoré d'",,,,1677.08,,1677060102,,,,,notice 1677.06.02,,,,,,,,,,,,,,
